"bucket","code","brand","parent_code","name"
"missing_product_meta","ЦБ18698","ПЕНОПЛЭКС","","Пеноплэкс К (1200х600х20) 25 шт/уп, 18 м2, 0,36 м3"
"missing_product_meta","ЦВ000243942","BASWOOL","","Альтернативное наименование BASWOOL"
"missing_product_meta","ЦВ000018098","BASWOOL","","Плиты теплоизоляционные BASWOOL 1200*600*100 (3 шт, 2,16 м2, 0,216 м3)"
"missing_product_meta","ЦВ000017166","BASWOOL","","Плиты теплоизоляционные BASWOOL 1200*600*120 (2 шт; 1,44 м2; 0,1728м3) пл. 110 кг/м3"
"missing_product_meta","ЦВ000018097","BASWOOL","","Плиты теплоизоляционные BASWOOL 1200*600*150 (2 шт; 1,44 м2; 0,216 м3)"
"missing_product_meta","ЦВ000018101","BASWOOL","","Плиты теплоизоляционные BASWOOL 1200*600*50"
"missing_product_meta","ЦВ000018100","BASWOOL","","Плиты теплоизоляционные BASWOOL 1200*600*50 (6шт; 4,32 м2; 0,216 м3)"
"missing_product_meta","ЦВ000018102","BASWOOL","","Плиты теплоизоляционные BASWOOL 1200*600*50 (6шт; 4,32 м2; 0,216 м3)"
"missing_product_meta","ЦВ000014824","BASWOOL","","Плиты теплоизоляционные BASWOOL ВЕНТ ФАСАД 90 1200*600*50  (6 шт, 4,32 м2, 0,216 м3)"
"missing_product_meta","ЦВ000207841","BASWOOL","","Плиты теплоизоляционные BASWOOL ВЕНТ ФАСАД 90 1200*600*50 (6 шт, 4,32 м2, 0,216 м3)"
"missing_product_meta","ЦВ000016883","BASWOOL","","Плиты теплоизоляционные BASWOOL РУФ В 180 1200*600*40 (5 шт, 3.6м2, 0,144 м3) 6,912 м3/под"
"missing_product_meta","ЦВ000016749","BASWOOL","","Плиты теплоизоляционные BASWOOL РУФ В 180 1200*600*40 5 плиты/пачка (6,912)  (0,144 м3 ; 3,6м2)"
"missing_product_meta","ЦВ000230781","BASWOOL","","Плиты теплоизоляционные BASWOOL РУФ В 190 1200*600*100 (2 шт.; 1.44м2, 0.1440 м3)(6,912 м3/под)"
"missing_product_meta","ЦВ000220018","BASWOOL","","Плиты теплоизоляционные BASWOOL РУФ Н 100 1200*600*100 (3 шт, 2,16 м2, 0,216 м3)"
"missing_product_meta","ЦВ000210138","BASWOOL","","Плиты теплоизоляционные BASWOOL РУФ Н 100 1200х600х80 (3 шт, 2,16 м2, 0,1728 м3.)"
"missing_product_meta","ЦВ000016750","BASWOOL","","Плиты теплоизоляционные BASWOOL РУФ Н 120 1200*600*120 (2 шт; 1,44 м2; 0,1728м3)"
"missing_product_meta","ЦВ000210136","BASWOOL","","Плиты теплоизоляционные BASWOOL РУФ Н 120 1200х600х80 (3 шт, 2,16 м2, 0,173 м3,)"
"missing_product_meta","ЦВ000219640","BASWOOL","","Плиты теплоизоляционные BASWOOL ФАСАД 120 1200*600*50 (6 шт;  0,216м3; 4,32м2)"
"missing_product_meta","ЦВ000218937","BASWOOL","","Плиты теплоизоляционные BASWOOL ФАСАД 140 1200*600*50 (6 шт;0,216 м3; 4,32м2)"
"missing_product_meta","ЦВ000205699","BASWOOL","","Плиты теплоизоляционные BASWOOL ФАСАД 150 1200*600*100 (3 шт;0,216 м3; 2,16 м2) 6,912 м3/под"
"missing_product_meta","ЦВ000012714","ИКОПАЛ","","Геотекстиль ИКОПАЛ 300 (рулон 2*50)"
"missing_product_meta","ЦВ000220076","ТЕХНОНИКОЛЬ","","Геотекстиль ТехноНИКОЛЬ 150 г/м2 2х50"
"missing_product_meta","ЦВ000248906","ТЕХНОНИКОЛЬ","","Геотекстиль ТЕХНОНИКОЛЬ ГЕО Фундамент 500, 2*50 м"
"missing_product_meta","ЦВ000221317","ТЕХНОНИКОЛЬ","","Полотно иглопробивное геотекстильное нетканое Технониколь ПЭТ 300 2х50"
"missing_product_meta","ЦВ000017058","ИКОПАЛ","","Полотно иглопробивное нетканное ИКОПАЛ 250 2х50, 100м2"
"missing_product_meta","ЦВ000244313","ТЕХНОНИКОЛЬ","","Альтернатива PLANTER"
"missing_product_meta","ЦВ000205973","ТЕХНОНИКОЛЬ","","PLANTER geo мембрана профилированная 2х15м"
"missing_product_meta","ЦВ000220326","ТЕХНОНИКОЛЬ","","PLANTER geo мембрана профилированная 2х20м"
"missing_product_meta","ЦВ000224217","ТЕХНОНИКОЛЬ","","Профилированная мембранаPLANTER GEO (с геотекстилем) 2*15 (30м2 рул)"
"missing_product_meta","ЦВ000209511","ТЕХНОНИКОЛЬ","","ТехноНиколь PLANTER standard мембрана профилированная 2*20 м"
"missing_product_meta","ЦВ000220614","ПЕНОПЛЭКС","","ПЛАСТФОЙЛ -PLASTFOIL classic (1,2*2100*25000) 52,5 м2, ПВХ-мембрана, армированная синтетической сеткой"
"missing_product_meta","ЦВ000017496","ПЕНОПЛЭКС","","ПЛАСТФОЙЛ -Plastfoil Classiс (1,5*2100*20000) 42 м2, вес 76.4 кг, ПВХ-мембрана армированная"
"missing_product_meta","ЦВ000219822","ПЕНОПЛЭКС","","ПЛАСТФОЙЛ -Plastfoil Eco (1,2 х 2100 х 25000-рулон 52,5м2)"
"missing_product_meta","ЦВ000243698","ЦЕРЕЗИТ","","Альтернативные наименования Церезит"
"missing_product_meta","ЦВ000247236","ЦЕРЕЗИТ","","792194 ЦЕРЕЗИТ CT 29/25 Штукатурка и ремонтн. шпаклевка (25 кг, мешок, 48шт/пал) Россия"
"missing_product_meta","ЦВ000248309","КНАУФ","","АКУСТИКНАУФ Звукозоляция 1230*610*50мм (уп.16шт.)"
"missing_product_meta","ЦВ000016975","ТЕХНОНИКОЛЬ","","Воронка (ТехноНИКОЛЬ с обжимным фланцем обогреваемая, 110х450"
"missing_product_meta","ЦВ000016235","ТЕХНОНИКОЛЬ","","Воронка ТехноНИКОЛЬ с обжимным фланцем обогреваемая 110 х450"
"missing_product_meta","ЦВ000219002","ТЕХНОНИКОЛЬ","","Герметик ТехноНИКОЛЬ ПУ, 600 мл"
"missing_product_meta","ЦВ000207107","ИКОПАЛ","","Икопал УЛЬТРА ЭПП"
"missing_product_meta","ЦВ000018211","ИКОПАЛ","","Мастика СБС Икопал"
"missing_product_meta","ЦВ000207829","ИКОПАЛ","","Мастика СБС Икопал гидроизоляционная (банка 20 кг)"
"missing_product_meta","ЦВ000228163","ИКОПАЛ","","Материал рулонный кровельный и гидроизоляционный Икопал Н ЭПП 4,0 10м 28 рул/пал"
"missing_product_meta","ЦВ000016595","ИКОПАЛ","","Материал рулонный кровельный и гидроизоляционный Икопал Н ЭПП 4,0 10м2 (28 рул/пал.)"
"missing_product_meta","ЦВ000016596","ИКОПАЛ","","Материал рулонный кровельный и гидроизоляционный Икопал У В ЭКП 5,0 10м (23 рул/пал.)"
"missing_product_meta","ЦВ000012512","ИКОПАЛ","","Материал рулонный кровельный и гидроизоляционный Икопал У Н ЭПП 4,0 10м2 (28 рул/пал.)"
"missing_product_meta","ЦВ000016944","ИКОПАЛ","","Материал рулонный кровельный и гидроизоляционный Икопал Ультра H ЭПП 4.0 м2 (10 м2) (28 рул/пал.)"
"missing_product_meta","ЦВ000207302","ИКОПАЛ","","Материал рулонный кровельный и гидроизоляционный Икопал Ультра В ЭКП 5,0 10м (23 рул/пал.)"
"missing_product_meta","ЦВ000017818","ЭКОРОЛЛ","","Отвод ЭКОРОЛЛ КВ-100 57(100)257 + Оболочка 90гр ZN 260.055 (в комплекте с саморезами)"
"missing_product_meta","ЦВ000018099","BASWOOL","","Пеноплекс (1 Плиты теплоизоляционные BASWOOL 1200*600*50 (6шт; 4,32 м2; 0,216 м3)185х585х50) Т-15, 8шт,уп., 5.52 м2., 0,2776 м3., 7.8 кг./уп."
"missing_product_meta","ЦВ000016107","ПЕНОПЛЭКС","","Пеноплэкс 45  (2400х600х100) 4 шт/уп, 5,76 м2, 0,576 м3;25,9 кг"
"missing_product_meta","ЦВ000012878","ПЕНОПЛЭКС","","Пеноплэкс 45 (2400х600х50) 8 шт/уп, 11,52 м2, 0,576 м3;25,9 кг"
"missing_product_meta","ЦВ000225134","ROCKWOOL","","Плита минераловатная Rockwool FT BARRIER 1000х600х150 (2шт; 1,2м2;0,18м3)"
"missing_product_meta","ЦВ000225520","ПЕНОПЛЭКС","","Плиты ""ПЕНОПЛЭКС ГЕО С"" 120х585х1185 Т-15"
"missing_product_meta","ЦВ000222083","ИКОПАЛ","","Праймер Икопал"
"missing_product_meta","ЦВ000016542","ИКОПАЛ","","Праймер СБС Икопал 21,5 л"
"missing_product_meta","ЦВ000016868","ИКОПАЛ","","Праймер СБС Икопал 21,5 л"
"missing_product_meta","ЦВ000017071","ТЕХНОНИКОЛЬ","","Рейка краевая алюминевая ТехноНИКОЛЬ 2,0 м"
"missing_product_meta","ЦВ000017470","ТЕХНОНИКОЛЬ","","Рейка прижимная алюминиевая ТехноНИКОЛЬ 2,0 м"
"missing_product_meta","ЦВ000209382","K-FLEX","","Рулон K-FLEX 06x1000-30 ST"
"missing_product_meta","ЦВ000017459","ТЕХНОНИКОЛЬ","","ТЕХНОНИКОЛЬ XPS CARBON 1180*580*50 (8шт; 5,4752м2; 0,27376м3)"
"missing_product_meta","ЦВ000218977","ТЕХНОНИКОЛЬ","","ТехноНИКОЛЬ Техноэласт ЭПП 1х10 м"
"missing_product_meta","ЦВ000207382","ТЕХНОНИКОЛЬ","","Техноэласт ЭПП (4,0мм, 10*1м)"
"missing_product_meta","ЦВ000017469","ТЕХНОНИКОЛЬ","","Техноэласт ЭПП, полиэстер, 10м2"
"missing_product_meta","ЦВ000226420","K-FLEX","","Трубка K-FLEX 19x060-1 ECO black AL CLAD"
"missing_product_meta","ЦВ000017817","ЭКОРОЛЛ","","Цилиндр ЭКОРОЛЛ КВ-100 1000*57(100)257 + Оболочка ZN 1250.260.055 (в комплекте с саморезами)"
"missing_product_meta","ЦВ000209456","ЭКОРОЛЛ","","Цилиндр ЭКОРОЛЛ КВ-80 1000*324(50)424-ФА ТУ 23.99.19-004-21610045-2018"
"missing_product_meta","ЦВ000218603","ЭКОРОЛЛ","","Цилиндр ЭКОРОЛЛ КВ-80 1000*325(50)425 ТУ 23.99.19-004-21610045-2018"
"missing_product_meta","ЦВ000248993","ЗИКА","","SIKA Top Seal-107 Канистра 5л. Компонент (А). Для гидроизоляции обмазочной цементно-полимерной (жестко-эластичная),"
"missing_product_meta","ЦВ000248992","ЗИКА","","SIKA Top Seal-107 мешок 20 кг. Компонент (B). Для гидроизоляции обмазочной цементно-полимерной (жестко-эластичная)"
"missing_product_meta","ЦВ000243149","ИКОПАЛ","","ИКОПАЛ"
"missing_product_meta","ЦВ000224448","ИКОПАЛ","","*Геотекстиль ИКОПАЛ 250 (рулон 2*50)"
"missing_product_meta","ЦБ49097","ИКОПАЛ","","Геотекстиль ИКОПАЛ 150 (рулон 2*50)"
"missing_product_meta","ЦВ000225571","ИКОПАЛ","","Геотекстиль ИКОПАЛ 300 (рулон 2*50)"
"missing_product_meta","ЦБ52849","ТЕХНОНИКОЛЬ","","ТехноНИКОЛЬ"
"missing_product_meta","ЦВ000231938","ТЕХНОНИКОЛЬ","","Геотекстиль ТЕХНОНИКОЛЬ ГЕО 300, 1,5*30 м"
"missing_product_meta","ЦВ000232145","ТЕХНОНИКОЛЬ","","Геотекстиль ТЕХНОНИКОЛЬ ГЕО 300, 2*50 м"
"missing_product_meta","ЦВ000229378","ТЕХНОНИКОЛЬ","","Геотекстиль ТЕХНОНИКОЛЬ ГЕО 350, 2*50 м"
"missing_product_meta","ЦВ000231048","ТЕХНОНИКОЛЬ","","Геотекстиль ТЕХНОНИКОЛЬ ПРОФ 150, 2*50 м (25 рул. паллета)"
"missing_product_meta","ЦВ000248249","ИЗОБОКС","","ИЗОБОКС"
"missing_product_meta","ЦВ000248262","ИЗОБОКС","","ИЗОБОКС Баланс В ТКП 4,5 10м (23 рул/под.)"
"missing_product_meta","ЦВ000248263","ИЗОБОКС","","ИЗОБОКС Баланс В ТКП 5,0 10м (20 рул/под.)"
"missing_product_meta","ЦВ000248259","ИЗОБОКС","","ИЗОБОКС Баланс В ЭКП 4,5 10м (23 рул/под.)"
"missing_product_meta","ЦВ000248260","ИЗОБОКС","","ИЗОБОКС Баланс В ЭКП 5,0 10м (20 рул/под.)"
